Year,AB,I,CE,F,GH,JP
1970,58801458285,3.07323E+11,1.05685E+12,6.31327E+11,6.23596E+11,3.39802E+12
1971,60295921738,3.1767E+11,1.07124E+12,6.11457E+11,6.44584E+11,3.47498E+12
1972,60931384184,3.43207E+11,1.14926E+12,6.2601E+11,6.96915E+11,3.58938E+12
1973,61749823759,3.63501E+11,1.25485E+12,6.4037E+11,7.37061E+11,3.7311E+12
1974,60695226509,3.59609E+11,1.20915E+12,6.10871E+11,7.29657E+11,3.83137E+12
1975,63057704621,3.57672E+11,1.13654E+12,5.62766E+11,7.27899E+11,3.88193E+12
1976,60757420705,3.80438E+11,1.21596E+12,5.94316E+11,7.68079E+11,3.99527E+12
1977,60323864058,3.99427E+11,1.28695E+12,6.20374E+11,8.12075E+11,4.13431E+12
1978,56951124055,4.23337E+11,1.3268E+12,6.45159E+11,8.69307E+11,4.34966E+12
1979,60612956059,4.46607E+11,1.30608E+12,6.49228E+11,8.80458E+11,4.53633E+12
1980,58974768057,4.51944E+11,1.25925E+12,6.02987E+11,8.47496E+11,4.6679E+12
1981,71983908070,4.53652E+11,1.27776E+12,5.65624E+11,8.89478E+11,4.74936E+12
1982,73140276071,4.56427E+11,1.21838E+12,5.3455E+11,9.16372E+11,4.80292E+12
1983,60998412059,4.95281E+11,1.24254E+12,5.45278E+11,9.72948E+11,4.87827E+12
1984,71502088069,5.33708E+11,1.3502E+12,6.11865E+11,1.08135E+12,5.07154E+12
1985,82776676080,5.34775E+11,1.38411E+12,6.71424E+11,1.1435E+12,5.22315E+12
1986,83547588081,5.50787E+11,1.38367E+12,6.69574E+11,1.24665E+12,5.40348E+12
1987,86245780083,5.9391E+11,1.48036E+12,6.82152E+11,1.22303E+12,5.60371E+12
1988,79146279894,6.16064E+11,1.59701E+12,7.2085E+11,1.3036E+12,5.81567E+12
1989,87034613438,6.36357E+11,1.57656E+12,7.26162E+11,1.35279E+12,5.99574E+12
1990,92644095070,6.68825E+11,1.58363E+12,7.12504E+11,1.34697E+12,6.14603E+12
1991,94835298832,6.87935E+11,1.54461E+12,6.58629E+11,1.3626E+12,6.19276E+12
1992,1.02198E+11,7.20235E+11,1.54798E+12,6.65964E+11,1.41445E+12,6.30803E+12
1993,95799428487,7.51689E+11,1.59815E+12,6.84175E+11,1.44062E+12,6.40235E+12
1994,1.06142E+11,8.02591E+11,1.70127E+12,7.28438E+11,1.52725E+12,6.4903E+12
1995,99480650808,8.30663E+11,1.80485E+12,7.34255E+11,1.5688E+12,6.64931E+12
1996,1.02022E+11,8.82917E+11,1.83757E+12,7.75483E+11,1.68947E+12,6.81925E+12
1997,1.12277E+11,9.0524E+11,1.90971E+12,7.95465E+11,1.82698E+12,7.09553E+12
1998,1.09556E+11,9.78969E+11,1.96858E+12,8.31821E+11,1.98171E+12,7.2692E+12
1999,1.12837E+11,1.03982E+12,2.07887E+12,8.66106E+11,2.06117E+12,7.5284E+12
2000,1.29483E+11,1.04215E+12,2.16296E+12,9.01197E+11,2.15723E+12,7.82914E+12
2001,1.25002E+11,1.03242E+12,2.08601E+12,8.82673E+11,2.19218E+12,8.02017E+12
2002,1.29323E+11,1.06213E+12,2.11525E+12,8.54026E+11,2.2495E+12,8.16148E+12
2003,1.39406E+11,1.09925E+12,2.16775E+12,8.67947E+11,2.35584E+12,8.29426E+12
2004,1.5053E+11,1.20766E+12,2.29956E+12,8.98896E+11,2.43415E+12,8.43805E+12
2005,1.56932E+11,1.27784E+12,2.34864E+12,9.02922E+11,2.51183E+12,8.73641E+12
2006,1.59493E+11,1.33829E+12,2.50206E+12,8.84054E+11,2.56043E+12,8.92777E+12
2007,1.41327E+11,1.41242E+12,2.59602E+12,8.56787E+11,2.55592E+12,9.04082E+12
2008,1.44288E+11,1.4607E+12,2.55789E+12,7.7326E+11,2.50165E+12,9.11352E+12
2009,1.60053E+11,1.4108E+12,2.40721E+12,6.64076E+11,2.29789E+12,9.17004E+12
2010,1.55172E+11,1.48899E+12,2.50049E+12,6.29906E+11,2.38848E+12,9.29269E+12
2011,1.4917E+11,1.5256E+12,2.52249E+12,6.19781E+11,2.42554E+12,9.44435E+12
2012,1.43728E+11,1.55522E+12,2.55036E+12,6.36694E+11,2.47309E+12,9.67195E+12
2013,1.67576E+11,1.63219E+12,2.61832E+12,6.52571E+11,2.53702E+12,9.67335E+12
2014,1.69496E+11,1.68371E+12,2.68246E+12,6.64651E+11,2.61208E+12,9.89793E+12
2015,1.807E+11,1.8048E+12,2.7335E+12,6.956E+11,2.7138E+12,1.00963E+13
2016,1.89343E+11,1.92467E+12,2.70906E+12,7.19301E+11,2.737E+12,1.02279E+13
2017,1.86542E+11,2.0411E+12,2.79803E+12,7.35868E+11,2.80639E+12,1.03935E+13
2018,1.83901E+11,2.18754E+12,2.89229E+12,7.5209E+11,2.87578E+12,1.0637E+13